term,mean_tfidf,class_
error terus,0.001374,negatif
dana,0.001361,negatif
server down,0.001358,negatif
sangat tidak,0.001358,negatif
login padahal,0.001341,negatif
aplikasi buruk,0.001336,negatif
cacat,0.001332,negatif
tolol,0.001318,negatif
kaya gin,0.001314,negatif
aplikasi jelek,0.00131,negatif
doang,0.00131,negatif
belum siap guna,0.0013,negatif
aplikasi gagal,0.00128,negatif
ga jelas,0.001274,negatif
kerja kpps,0.001268,negatif
burik,0.001267,negatif
tpi,0.001261,negatif
siap jangan,0.001259,negatif
aplikasi bikin,0.001241,negatif
aplikasi sampah,0.00124,negatif
balik,0.001238,negatif
mah,0.001235,negatif
kalau belum siap,0.001227,negatif
pakai aplikasi,0.001223,negatif
pihak,0.001213,negatif
aplikasi perintah,0.001211,negatif
berapa,0.001203,negatif
layak guna,0.001202,negatif
macam,0.001191,negatif
emang,0.001178,negatif
minimal,0.001175,negatif
aplikasi sulit,0.001172,negatif
rakyat,0.00117,negatif
maksa,0.001146,negatif
bikin ribet,0.001146,negatif
nama,0.001136,negatif
angka,0.001134,negatif
emo_marah,0.001134,negatif
aku,0.00113,negatif
sering eror,0.00112,negatif
kalo belum,0.001108,negatif
seperti,0.001103,negatif
rusak,0.001103,negatif
nambah,0.001098,negatif
gara,0.001098,negatif
pake aplikasi,0.001087,negatif
gak usah,0.001084,negatif
minta ampun,0.001079,negatif
siap pakai,0.001066,negatif
kecewa,0.001065,negatif
ampas,0.001061,negatif
bobrok,0.00106,negatif
wa,0.001057,negatif
erorr,0.001053,negatif
sulit kerja,0.001047,negatif
segala,0.001043,negatif
layak pakai,0.001032,negatif
belum siap jangan,0.001032,negatif
apk belum,0.00103,negatif
emosi,0.001021,negatif
apk yg,0.001018,negatif
buruk sekali,0.001018,negatif
anak,0.001008,negatif
capek,0.001007,negatif
kali kali,0.001,negatif
kaga,0.000996,negatif
luncur,0.000995,negatif
lambat kerja,0.000994,negatif
hari milu,0.000991,negatif
gmna,0.000982,negatif
bsa,0.000981,negatif
mumet,0.000977,negatif
padahal udah,0.000976,negatif
banyak eror,0.000973,negatif
bakal,0.000971,negatif
mutu,0.000971,negatif
malah jadi,0.00097,negatif
diupdate,0.000966,negatif
kalah,0.000964,negatif
mampu,0.000955,negatif
