term,mean_tfidf,class_
teman,0.001082,positif
moga bantu,0.001078,positif
curang,0.001078,positif
joss,0.001075,positif
jelas,0.001075,positif
aamiin,0.001075,positif
karna,0.001074,positif
lupa sandi,0.001073,positif
update versi,0.00107,positif
layan,0.001064,positif
moga lebih,0.00106,positif
pak,0.001059,positif
ram,0.001055,positif
loging,0.001053,positif
mantul,0.001052,positif
no,0.001049,positif
malam,0.001044,positif
kereeen,0.001043,positif
bimtek,0.001035,positif
jurdil,0.001034,positif
maaf,0.001033,positif
bantu kerja,0.001033,positif
sangat penting,0.001033,positif
perangkat,0.001032,positif
belum login,0.001027,positif
juang,0.001027,positif
arah,0.001027,positif
an lancar,0.001025,positif
mudah an lancar,0.001025,positif
ga login,0.001025,positif
rating,0.001024,positif
sidik,0.00102,positif
feb,0.001017,positif
jauh,0.001013,positif
lola,0.001009,positif
dah,0.001008,positif
moga mudah,0.001005,positif
bagaimana solusi,0.001004,positif
menu,0.001003,positif
transparansi,0.001003,positif
developer,0.001002,positif
dlm,0.000998,positif
tulis,0.000994,positif
saran,0.000987,positif
moga tidak kendala,0.000987,positif
mudah cepat,0.000986,positif
sertifikasi,0.000984,positif
aplikasi sangat bantu,0.000983,positif
gmn,0.000983,positif
sangat guna,0.000982,positif
emo_lainnya emo_senang,0.000977,positif
lebih tingkat,0.000975,positif
damai,0.000974,positif
hari nya,0.000973,positif
tahu,0.000968,positif
blm login,0.000968,positif
lengkap,0.000967,positif
perintah,0.000965,positif
hebat,0.000961,positif
sirekapnya,0.000959,positif
simulasi,0.000958,positif
invalid username,0.000954,positif
ketua,0.000954,positif
apresiasi,0.000953,positif
utama,0.000953,positif
besok,0.000953,positif
yah,0.000949,positif
bantu milu,0.000936,positif
bagaimana cara,0.000935,positif
lapor,0.000931,positif
ri,0.000931,positif
upload,0.000928,positif
masalah aplikasi,0.000925,positif
laku inisial,0.000924,positif
bagi,0.000922,positif
update jadi,0.000919,positif
rasa,0.000917,positif
selamat,0.000916,positif
apik,0.000909,positif
mantaf,0.000909,positif
alami,0.000908,positif
informasi,0.000906,positif
uji coba,0.000904,positif
moga guna,0.000904,positif
lalu,0.000903,positif
nyaman,0.000903,positif
muncul,0.0009,positif
pilih umum,0.000899,positif
login gagal,0.000898,positif
tidak down,0.000897,positif
kabupaten,0.000894,positif
install,0.000892,positif
masyarakat,0.000891,positif
usaha,0.000887,positif
bagus tidak,0.000885,positif
apk sirekap,0.000884,positif
sya,0.000883,positif
mayan,0.000883,positif
sampe,0.000883,positif
saksi,0.000881,positif
kalau lupa,0.000879,positif
moga jalan lancar,0.000878,positif
salah terus,0.000877,positif
bagusssss,0.000877,positif
lima,0.000877,positif
lebih bagus,0.000875,positif
